-----------------------------------------------
200 < p_{T} [GeV] < 400
 MJ: epsilon_s=0.392697, epsilon_b=0.0598188
 SD mu 40: epsilon_s=0.403933, epsilon_b=0.0543915
 MJ: epsilon_s=0.392697, epsilon_b=0.0598188
 SD mu 40: epsilon_s=0.403933, epsilon_b=0.0543915
 MJ: epsilon_s=0.392697, epsilon_b=0.0598188
 SD mu 40: epsilon_s=0.403933, epsilon_b=0.0543915
 MJ: epsilon_s=0.392697, epsilon_b=0.0598188
 SD mu 40: epsilon_s=0.403933, epsilon_b=0.0543915
 MJ: epsilon_s=0.392697, epsilon_b=0.0598188
 SD mu 40: epsilon_s=0.40393, epsilon_b=0.0543912
 MJ: epsilon_s=0.392697, epsilon_b=0.0598188
 SD mu 40: epsilon_s=0.403921, epsilon_b=0.0543745
 MJ: epsilon_s=0.392697, epsilon_b=0.0598188
 SD mu 40: epsilon_s=0.403877, epsilon_b=0.054354
 MJ: epsilon_s=0.392697, epsilon_b=0.0598188
 SD mu 40: epsilon_s=0.403844, epsilon_b=0.0543123
 MJ: epsilon_s=0.392697, epsilon_b=0.0598188
 SD mu 40: epsilon_s=0.403786, epsilon_b=0.0542652
 MJ: epsilon_s=0.392697, epsilon_b=0.0598188
 SD mu 40: epsilon_s=0.403676, epsilon_b=0.0541941
 MJ: epsilon_s=0.392697, epsilon_b=0.0598167
 SD mu 40: epsilon_s=0.403588, epsilon_b=0.0541
 MJ: epsilon_s=0.392697, epsilon_b=0.0598131
 SD mu 40: epsilon_s=0.403479, epsilon_b=0.0539813
 MJ: epsilon_s=0.392694, epsilon_b=0.0598054
 SD mu 40: epsilon_s=0.403325, epsilon_b=0.0537988
 MJ: epsilon_s=0.392694, epsilon_b=0.0598054
 SD mu 40: epsilon_s=0.403074, epsilon_b=0.053574
 MJ: epsilon_s=0.392686, epsilon_b=0.0597928
 SD mu 40: epsilon_s=0.402734, epsilon_b=0.053289
 MJ: epsilon_s=0.392686, epsilon_b=0.0597864
 SD mu 40: epsilon_s=0.402291, epsilon_b=0.0528749
 MJ: epsilon_s=0.392677, epsilon_b=0.0597646
 SD mu 40: epsilon_s=0.401777, epsilon_b=0.0523541
 MJ: epsilon_s=0.392651, epsilon_b=0.0597337
 SD mu 40: epsilon_s=0.401164, epsilon_b=0.0517305
 MJ: epsilon_s=0.392622, epsilon_b=0.059688
 SD mu 40: epsilon_s=0.400314, epsilon_b=0.0509588
 MJ: epsilon_s=0.392603, epsilon_b=0.0595952
 SD mu 40: epsilon_s=0.399235, epsilon_b=0.050033
 MJ: epsilon_s=0.392527, epsilon_b=0.05948
 SD mu 40: epsilon_s=0.397928, epsilon_b=0.0490107
 MJ: epsilon_s=0.392433, epsilon_b=0.0593373
 SD mu 40: epsilon_s=0.396296, epsilon_b=0.0477979
 MJ: epsilon_s=0.392296, epsilon_b=0.0590667
 SD mu 40: epsilon_s=0.394658, epsilon_b=0.0464873
 MJ: epsilon_s=0.392086, epsilon_b=0.0587981
 SD mu 40: epsilon_s=0.392512, epsilon_b=0.0449814
 MJ: epsilon_s=0.391869, epsilon_b=0.0584692
 SD mu 40: epsilon_s=0.390117, epsilon_b=0.0433914
 MJ: epsilon_s=0.391558, epsilon_b=0.0579582
 SD mu 40: epsilon_s=0.387318, epsilon_b=0.0415883
 MJ: epsilon_s=0.391158, epsilon_b=0.0573164
 SD mu 40: epsilon_s=0.383957, epsilon_b=0.0397847
 MJ: epsilon_s=0.390697, epsilon_b=0.0567035
 SD mu 40: epsilon_s=0.380809, epsilon_b=0.0379703
 MJ: epsilon_s=0.389922, epsilon_b=0.05586
 SD mu 40: epsilon_s=0.377318, epsilon_b=0.0361808
 MJ: epsilon_s=0.389196, epsilon_b=0.054897
 SD mu 40: epsilon_s=0.373278, epsilon_b=0.0342298
 MJ: epsilon_s=0.388088, epsilon_b=0.0539874
 SD mu 40: epsilon_s=0.368942, epsilon_b=0.0322909
 MJ: epsilon_s=0.386963, epsilon_b=0.0528284
 SD mu 40: epsilon_s=0.364215, epsilon_b=0.0303701
 MJ: epsilon_s=0.385715, epsilon_b=0.0515842
 SD mu 40: epsilon_s=0.359417, epsilon_b=0.0285696
 MJ: epsilon_s=0.384008, epsilon_b=0.0500209
 SD mu 40: epsilon_s=0.354201, epsilon_b=0.0266533
 MJ: epsilon_s=0.381947, epsilon_b=0.0483473
 SD mu 40: epsilon_s=0.348862, epsilon_b=0.0248234
 MJ: epsilon_s=0.379635, epsilon_b=0.0465683
 SD mu 40: epsilon_s=0.343243, epsilon_b=0.0230481
 MJ: epsilon_s=0.377026, epsilon_b=0.0448419
 SD mu 40: epsilon_s=0.337246, epsilon_b=0.0213894
 MJ: epsilon_s=0.373928, epsilon_b=0.0429258
 SD mu 40: epsilon_s=0.331063, epsilon_b=0.0198398
 MJ: epsilon_s=0.370478, epsilon_b=0.0409162
 SD mu 40: epsilon_s=0.32425, epsilon_b=0.0183239
 MJ: epsilon_s=0.366756, epsilon_b=0.0388518
 SD mu 40: epsilon_s=0.317402, epsilon_b=0.016897
 MJ: epsilon_s=0.362717, epsilon_b=0.0368429
 SD mu 40: epsilon_s=0.310264, epsilon_b=0.0154551
 MJ: epsilon_s=0.357946, epsilon_b=0.0346744
 SD mu 40: epsilon_s=0.302945, epsilon_b=0.0141452
 MJ: epsilon_s=0.352535, epsilon_b=0.0325017
 SD mu 40: epsilon_s=0.294834, epsilon_b=0.0128745
 MJ: epsilon_s=0.347061, epsilon_b=0.0303536
 SD mu 40: epsilon_s=0.286763, epsilon_b=0.0116889
 MJ: epsilon_s=0.340991, epsilon_b=0.0283025
 SD mu 40: epsilon_s=0.278734, epsilon_b=0.0106145
 MJ: epsilon_s=0.334428, epsilon_b=0.0262332
 SD mu 40: epsilon_s=0.270063, epsilon_b=0.00964597
 MJ: epsilon_s=0.327118, epsilon_b=0.0241526
 SD mu 40: epsilon_s=0.261518, epsilon_b=0.00872987
 MJ: epsilon_s=0.31954, epsilon_b=0.0221057
 SD mu 40: epsilon_s=0.252829, epsilon_b=0.00784207
 MJ: epsilon_s=0.311359, epsilon_b=0.0201284
 SD mu 40: epsilon_s=0.243845, epsilon_b=0.00704051
 MJ: epsilon_s=0.302572, epsilon_b=0.0182882
 SD mu 40: epsilon_s=0.234611, epsilon_b=0.00627827
 MJ: epsilon_s=0.292977, epsilon_b=0.0164445
 SD mu 40: epsilon_s=0.225244, epsilon_b=0.00560253
 MJ: epsilon_s=0.283238, epsilon_b=0.0148159
 SD mu 40: epsilon_s=0.215795, epsilon_b=0.004953
 MJ: epsilon_s=0.272852, epsilon_b=0.0131886
 SD mu 40: epsilon_s=0.206237, epsilon_b=0.00439914
 MJ: epsilon_s=0.262143, epsilon_b=0.0117287
 SD mu 40: epsilon_s=0.196179, epsilon_b=0.00386678
 MJ: epsilon_s=0.250696, epsilon_b=0.0103454
 SD mu 40: epsilon_s=0.186188, epsilon_b=0.00343323
 MJ: epsilon_s=0.239155, epsilon_b=0.00908507
 SD mu 40: epsilon_s=0.176273, epsilon_b=0.0029816
 MJ: epsilon_s=0.227289, epsilon_b=0.00787045
 SD mu 40: epsilon_s=0.166491, epsilon_b=0.00260756
 MJ: epsilon_s=0.214946, epsilon_b=0.00684139
 SD mu 40: epsilon_s=0.156774, epsilon_b=0.00226182
 MJ: epsilon_s=0.201988, epsilon_b=0.00581444
 SD mu 40: epsilon_s=0.147089, epsilon_b=0.00199577
 MJ: epsilon_s=0.188276, epsilon_b=0.00494987
 SD mu 40: epsilon_s=0.137439, epsilon_b=0.00172605
 MJ: epsilon_s=0.175487, epsilon_b=0.00420971
 SD mu 40: epsilon_s=0.12742, epsilon_b=0.00149329
 MJ: epsilon_s=0.162123, epsilon_b=0.0035539
 SD mu 40: epsilon_s=0.118074, epsilon_b=0.00128648
 MJ: epsilon_s=0.148661, epsilon_b=0.00304007
 SD mu 40: epsilon_s=0.1086, epsilon_b=0.00111663
 MJ: epsilon_s=0.135749, epsilon_b=0.00256069
 SD mu 40: epsilon_s=0.0991267, epsilon_b=0.000954113
 MJ: epsilon_s=0.123011, epsilon_b=0.0021031
 SD mu 40: epsilon_s=0.0900429, epsilon_b=0.000808375
 MJ: epsilon_s=0.11007, epsilon_b=0.00170666
 SD mu 40: epsilon_s=0.081381, epsilon_b=0.000676791
 MJ: epsilon_s=0.0980889, epsilon_b=0.00136786
 SD mu 40: epsilon_s=0.0731723, epsilon_b=0.000557527
 MJ: epsilon_s=0.0864018, epsilon_b=0.00108107
 SD mu 40: epsilon_s=0.0651378, epsilon_b=0.000463688
 MJ: epsilon_s=0.0751037, epsilon_b=0.000877228
 SD mu 40: epsilon_s=0.0576698, epsilon_b=0.00038348
 MJ: epsilon_s=0.0645052, epsilon_b=0.000672682
 SD mu 40: epsilon_s=0.0506268, epsilon_b=0.000316115
 MJ: epsilon_s=0.0546809, epsilon_b=0.000518042
 SD mu 40: epsilon_s=0.0439283, epsilon_b=0.000254517
 MJ: epsilon_s=0.0455964, epsilon_b=0.000398548
 SD mu 40: epsilon_s=0.0376721, epsilon_b=0.000207598
 MJ: epsilon_s=0.0377909, epsilon_b=0.000296627
 SD mu 40: epsilon_s=0.0321465, epsilon_b=0.000162514
 MJ: epsilon_s=0.0304323, epsilon_b=0.00022985
 SD mu 40: epsilon_s=0.027054, epsilon_b=0.000123458
 MJ: epsilon_s=0.0243672, epsilon_b=0.00014761
 SD mu 40: epsilon_s=0.022385, epsilon_b=9.77703e-05
 MJ: epsilon_s=0.018647, epsilon_b=0.000120197
 SD mu 40: epsilon_s=0.0180523, epsilon_b=7.31312e-05
 MJ: epsilon_s=0.0139028, epsilon_b=8.43488e-05
 SD mu 40: epsilon_s=0.014451, epsilon_b=5.42586e-05
 MJ: epsilon_s=0.0101935, epsilon_b=6.53703e-05
 SD mu 40: epsilon_s=0.0111025, epsilon_b=4.61329e-05
 MJ: epsilon_s=0.00716546, epsilon_b=4.85006e-05
 SD mu 40: epsilon_s=0.0083815, epsilon_b=3.38133e-05
 MJ: epsilon_s=0.00478609, epsilon_b=2.31959e-05
 SD mu 40: epsilon_s=0.00618334, epsilon_b=2.54255e-05
 MJ: epsilon_s=0.00299634, epsilon_b=1.96814e-05
 SD mu 40: epsilon_s=0.00418665, epsilon_b=1.93968e-05
 MJ: epsilon_s=0.00187184, epsilon_b=1.33552e-05
 SD mu 40: epsilon_s=0.00284253, epsilon_b=1.5465e-05
 MJ: epsilon_s=0.00114757, epsilon_b=8.43488e-06
 SD mu 40: epsilon_s=0.00179933, epsilon_b=1.17953e-05
 MJ: epsilon_s=0.000645943, epsilon_b=8.43488e-06
 SD mu 40: epsilon_s=0.00111856, epsilon_b=7.86357e-06
 MJ: epsilon_s=0.000383059, epsilon_b=8.43488e-06
 SD mu 40: epsilon_s=0.000662318, epsilon_b=5.5045e-06
 MJ: epsilon_s=0.000175971, epsilon_b=2.10872e-06
 SD mu 40: epsilon_s=0.000382935, epsilon_b=3.93178e-06
 MJ: epsilon_s=9.22775e-05, epsilon_b=0
 SD mu 40: epsilon_s=0.000207615, epsilon_b=3.66966e-06
 MJ: epsilon_s=5.36497e-05, epsilon_b=0
 SD mu 40: epsilon_s=9.94502e-05, epsilon_b=3.14543e-06
 MJ: epsilon_s=2.73614e-05, epsilon_b=0
 SD mu 40: epsilon_s=4.45988e-05, epsilon_b=1.31059e-06
 MJ: epsilon_s=5.90147e-06, epsilon_b=0
 SD mu 40: epsilon_s=1.33284e-05, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=4.61367e-06, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=4.61367e-06, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
 MJ: epsilon_s=0, epsilon_b=0
 SD mu 40: epsilon_s=0, epsilon_b=0
-----------------------------------------------
400 < p_{T} [GeV] < 600
 MJ: epsilon_s=0.483322, epsilon_b=0.0681223
 SD mu 40: epsilon_s=0.505461, epsilon_b=0.0536976
 MJ: epsilon_s=0.483322, epsilon_b=0.0681223
 SD mu 40: epsilon_s=0.505461, epsilon_b=0.0536976
 MJ: epsilon_s=0.483322, epsilon_b=0.0681223
 SD mu 40: epsilon_s=0.505461, epsilon_b=0.0536976
 MJ: epsilon_s=0.483322, epsilon_b=0.0681223
 SD mu 40: epsilon_s=0.505461, epsilon_b=0.0536976
 MJ: epsilon_s=0.483322, epsilon_b=0.0681223
 SD mu 40: epsilon_s=0.505461, epsilon_b=0.0536937
 MJ: epsilon_s=0.483322, epsilon_b=0.0681223
 SD mu 40: epsilon_s=0.505454, epsilon_b=0.0536841
 MJ: epsilon_s=0.483322, epsilon_b=0.0681223
 SD mu 40: epsilon_s=0.505439, epsilon_b=0.0536723
 MJ: epsilon_s=0.483322, epsilon_b=0.0681223
 SD mu 40: epsilon_s=0.505438, epsilon_b=0.0536543
 MJ: epsilon_s=0.483322, epsilon_b=0.0681163
 SD mu 40: epsilon_s=0.505424, epsilon_b=0.0535965
 MJ: epsilon_s=0.483322, epsilon_b=0.068114
 SD mu 40: epsilon_s=0.505387, epsilon_b=0.0535392
 MJ: epsilon_s=0.483319, epsilon_b=0.0681104
 SD mu 40: epsilon_s=0.505352, epsilon_b=0.0534605
 MJ: epsilon_s=0.483319, epsilon_b=0.0680997
 SD mu 40: epsilon_s=0.505299, epsilon_b=0.0533606
 MJ: epsilon_s=0.483319, epsilon_b=0.0680949
 SD mu 40: epsilon_s=0.505211, epsilon_b=0.0532207
 MJ: epsilon_s=0.483319, epsilon_b=0.0680831
 SD mu 40: epsilon_s=0.505102, epsilon_b=0.0530735
 MJ: epsilon_s=0.483288, epsilon_b=0.0680641
 SD mu 40: epsilon_s=0.504969, epsilon_b=0.052851
 MJ: epsilon_s=0.483272, epsilon_b=0.0680379
 SD mu 40: epsilon_s=0.504743, epsilon_b=0.0525573
 MJ: epsilon_s=0.483245, epsilon_b=0.0679975
 SD mu 40: epsilon_s=0.504524, epsilon_b=0.0522882
 MJ: epsilon_s=0.483215, epsilon_b=0.0679275
 SD mu 40: epsilon_s=0.504107, epsilon_b=0.0518753
 MJ: epsilon_s=0.483171, epsilon_b=0.0678716
 SD mu 40: epsilon_s=0.503652, epsilon_b=0.0514107
 MJ: epsilon_s=0.483126, epsilon_b=0.067735
 SD mu 40: epsilon_s=0.50307, epsilon_b=0.0508372
 MJ: epsilon_s=0.483068, epsilon_b=0.0674999
 SD mu 40: epsilon_s=0.502327, epsilon_b=0.0501546
 MJ: epsilon_s=0.482931, epsilon_b=0.0672385
 SD mu 40: epsilon_s=0.501357, epsilon_b=0.0493895
 MJ: epsilon_s=0.482772, epsilon_b=0.0669273
 SD mu 40: epsilon_s=0.500289, epsilon_b=0.0484694
 MJ: epsilon_s=0.482575, epsilon_b=0.0664902
 SD mu 40: epsilon_s=0.499002, epsilon_b=0.0473807
 MJ: epsilon_s=0.48224, epsilon_b=0.065945
 SD mu 40: epsilon_s=0.497519, epsilon_b=0.0462432
 MJ: epsilon_s=0.481878, epsilon_b=0.0653903
 SD mu 40: epsilon_s=0.495747, epsilon_b=0.0449512
 MJ: epsilon_s=0.481337, epsilon_b=0.0646955
 SD mu 40: epsilon_s=0.493394, epsilon_b=0.0436378
 MJ: epsilon_s=0.480549, epsilon_b=0.0638296
 SD mu 40: epsilon_s=0.490928, epsilon_b=0.0423615
 MJ: epsilon_s=0.479801, epsilon_b=0.0627534
 SD mu 40: epsilon_s=0.488265, epsilon_b=0.04081
